loja,ean,sku,nome,marca,precoDe,precoPor,oferta,desconto_percentual,print_tela_path,link
jumbo_ar,7790520027023,3074113,Insecticida 4 Toques Mata Mosquitos 10 Horas 43.7ml Raid,Insecticida,"$ 11.200,00",,,,,https://www.jumbo.com.ar/7790520027023?_q=7790520027023&map=ft
jumbo_ar,7790520027467,3066241,Bolsa Hermética Mediana Para Alimentos 24 Unidades Ziploc,Bolsa,"$ 8.649,00",,,,,https://www.jumbo.com.ar/7790520027467?_q=7790520027467&map=ft
jumbo_ar,7790520027474,381634,Bolsa Hermética Freezer Mediana 20 Unidades Ziploc,Bolsa,"$ 8.149,00",,,,,https://www.jumbo.com.ar/7790520027474?_q=7790520027474&map=ft
jumbo_ar,7790520027269,1360929,Desinfectante Elimina Olores Original Aerosol 315ml Lysoform,Desinfectante,"$ 5.050,00",,,,,https://www.jumbo.com.ar/7790520027269?_q=7790520027269&map=ft
jumbo_ar,7790520028044,1371072,Limpia Vidrios Elimina Manchas Aerosol 360ml Mr. Músculo,Limpia,"$ 4.550,00",,,,,https://www.jumbo.com.ar/7790520028044?_q=7790520028044&map=ft
jumbo_ar,7790520028075,410847,Discos Adhesivos Para Inodoro Lavanda Repuesto 38g Pato,Discos,"$ 6.200,00",,,,,https://www.jumbo.com.ar/7790520028075?_q=7790520028075&map=ft
jumbo_ar,7790520028082,410846,Discos Adhesivos Inodoro Lavanda Aplicadorrep 38g Pato,Discos,"$ 9.400,00",,,,,https://www.jumbo.com.ar/7790520028082?_q=7790520028082&map=ft
jumbo_ar,7790520028433,3074111,Limpiador Desinfectante Bosque De Pinos 900ml Lysoform,Limpiador,"$ 3.700,00",,,,,https://www.jumbo.com.ar/7790520028433?_q=7790520028433&map=ft
jumbo_ar,7790520028457,3077127,Limpiador Desinfectante De Superficies Lavanda 1760ml Lysoform,Limpiador,"$ 6.450,00",,,,,https://www.jumbo.com.ar/7790520028457?_q=7790520028457&map=ft
jumbo_ar,7790520028556,3067285,Autobrillo Botella 875 Ml Ceramicol,Autobrillo,"$ 3.850,00",,,,,https://www.jumbo.com.ar/7790520028556?_q=7790520028556&map=ft
jumbo_ar,7790520028709,401458,Lustramuebles Multisuperficie Original 360 Ml Ceramicol,Lustramuebles,"$ 5.150,00",,,,,https://www.jumbo.com.ar/7790520028709?_q=7790520028709&map=ft
jumbo_ar,7790520028716,401461,Lustramueble Ceramicol Lavanda 360,Lustramueble,"$ 5.150,00",,,,,https://www.jumbo.com.ar/7790520028716?_q=7790520028716&map=ft
jumbo_ar,7790520028723,401460,Lustramuebles Multisuperficies Naranja 360 Ml Ceramicol,Lustramuebles,"$ 5.150,00",,,,,https://www.jumbo.com.ar/7790520028723?_q=7790520028723&map=ft
jumbo_ar,7790520028884,413929,Lustramuebles Aerosol Granito Marmol Naranja 360cc Blem,Lustramuebles,"$ 6.300,00",,,,,https://www.jumbo.com.ar/7790520028884?_q=7790520028884&map=ft
jumbo_ar,7790520028877,410841,Lustramuebles Aerosol Madera Lavanda 360cc Blem,Lustramuebles,"$ 6.300,00",,,,,https://www.jumbo.com.ar/7790520028877?_q=7790520028877&map=ft
jumbo_ar,7790520028747,410845,Lustramuebles Aerosol Madera Original 360cc Blem,Lustramuebles,"$ 6.300,00",,,,,https://www.jumbo.com.ar/7790520028747?_q=7790520028747&map=ft
jumbo_ar,7790520028921,3077797,Bloque Adhesivo Combo Frutal 24.6g Pato,Bloque,"$ 2.900,00",,,,,https://www.jumbo.com.ar/7790520028921?_q=7790520028921&map=ft
